what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1733834612659
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1733834612659
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1733834612659
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1733834612659
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1733834612659
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1733834612660
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1733834612660
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1733834612660
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1733834612660
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1733834612662
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1733834612662
os,sysinfo,,,"linux",1733834612664
arch,sysinfo,,,"x86_64",1733834612664
ws,sysinfo,,,"gtk",1733834612664
locale,sysinfo,,,"en_IN",1733834612664
processors,sysinfo,,,"8",1733834612664
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1733834612664
java.runtime.version,sysinfo,,,"1.8.0_432-8u432-ga~us1-0ubuntu2~20.04-ga",1733834612664
java.specification.name,sysinfo,,,"Java Platform API Specification",1733834612664
java.specification.vendor,sysinfo,,,"Oracle Corporation",1733834612664
java.specification.version,sysinfo,,,"1.8",1733834612664
java.vendor,sysinfo,,,"Private Build",1733834612664
java.version,sysinfo,,,"1.8.0_432",1733834612664
java.vm.info,sysinfo,,,"mixed mode",1733834612664
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1733834612664
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1733834612664
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1733834612664
java.vm.specification.version,sysinfo,,,"1.8",1733834612664
java.vm.vendor,sysinfo,,,"Private Build",1733834612664
java.vm.version,sysinfo,,,"25.432-bga",1733834612664
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1733834618745
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1733834734239
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1733834734245
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1733834736438
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1733834739461
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1733834739622
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1733834739622
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1733834739622
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1733834739623
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1733834739623
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1733834739623
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1733834739623
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1733834739623
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1733834739624
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1733834739624
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1733834739624
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1733834739624
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1733834739625
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1733834739625
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1733834739625
stopped,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1733834739626
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1733834739626
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1733834739626
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1733834739627
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1733834739627
stopped,bundle,org.eclipse.jst.server.ui,1.1.100.v20100511,"org.eclipse.jst.server.ui",1733834739627
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1733834739627
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1733834739628
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1733834739628
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.3.0.v201004280001,"org.eclipse.jpt.eclipselink.ui",1733834739629
